fold,stage,model,cv_mean,cv_std
fold_0,stage1,MLP-1,0.8995367005813953,0.03260058005761768
fold_0,stage1,MLP-2,0.8995367005813953,0.03260058005761768
fold_0,stage1,SGD,0.6444828003875969,0.038819156420857724
fold_0,stage2,MLP-3,0.8987675629844961,0.030592831696813
fold_0,stage2,CatBoost,0.8952579941860466,0.030998154566960992
fold_0,stage3,LASSO,,
fold_1,stage1,MLP-1,0.897610828488372,0.028121078812143537
fold_1,stage1,MLP-2,0.897610828488372,0.028121078812143537
fold_1,stage1,SGD,0.6592266230620154,0.03698194707377078
fold_1,stage2,MLP-3,0.8980135658914727,0.028574670999650487
fold_1,stage2,CatBoost,0.8933321220930232,0.027871525842334818
fold_1,stage3,LASSO,,
fold_2,stage1,MLP-1,0.8940921753875969,0.019696270959417197
fold_2,stage1,MLP-2,0.8940921753875969,0.019696270959417197
fold_2,stage1,SGD,0.6386658187984496,0.052409635767754564
fold_2,stage2,MLP-3,0.8979953972868217,0.020183686180428973
fold_2,stage2,CatBoost,0.8944828003875969,0.019531114791311338
fold_2,stage3,LASSO,,
fold_3,stage1,MLP-1,0.899127906976744,0.03452750078911437
fold_3,stage1,MLP-2,0.899127906976744,0.03452750078911437
fold_3,stage1,SGD,0.670594113372093,0.03973128216696602
fold_3,stage2,MLP-3,0.8967932412790697,0.031323850478782916
fold_3,stage2,CatBoost,0.8932988129844961,0.02993527971693326
fold_3,stage3,LASSO,,
