combination,stage,model,cv_mean,cv_std
combo_1,stage1,MLP-1,0.9258086089494164,0.01659201844389708
combo_1,stage1,MLP-2,0.9258086089494164,0.01659201844389708
combo_1,stage1,SGD,0.6721075510700389,0.03155558331006635
combo_1,stage2,MLP-3,0.9261992339494164,0.01549582881498594
combo_1,stage2,CatBoost,0.9244490211575875,0.017670664078501066
combo_1,stage3,LASSO,,
combo_2,stage1,MLP-1,0.9277602140077821,0.016144674941213008
combo_2,stage1,MLP-2,0.9277602140077821,0.016144674941213008
combo_2,stage1,SGD,0.6742613083657588,0.029899605946491964
combo_2,stage2,MLP-3,0.9281493190661478,0.017014697131179767
combo_2,stage2,CatBoost,0.9281485590953308,0.01728791187892846
combo_2,stage3,LASSO,,
combo_3,stage1,MLP-1,0.9287162572957198,0.020517726349963357
combo_3,stage1,MLP-2,0.9287162572957198,0.020517726349963357
combo_3,stage1,SGD,0.6732718263618678,0.03496073353488763
combo_3,stage2,MLP-3,0.9287185372081712,0.020093312154869092
combo_3,stage2,CatBoost,0.9273566695038911,0.017775040785110923
combo_3,stage3,LASSO,,
combo_4,stage1,MLP-1,0.923286265807393,0.017034982280647683
combo_4,stage1,MLP-2,0.923286265807393,0.017034982280647683
combo_4,stage1,SGD,0.6584805143482491,0.03299891822756479
combo_4,stage2,MLP-3,0.9250357186284047,0.01464778523140636
combo_4,stage2,CatBoost,0.9225095756322957,0.016467368426188206
combo_4,stage3,LASSO,,
combo_5,stage1,MLP-1,0.9226866488326848,0.021715357988532625
combo_5,stage1,MLP-2,0.9226866488326848,0.021715357988532625
combo_5,stage1,SGD,0.6724951361867705,0.04926062286309136
combo_5,stage2,MLP-3,0.9252150717412452,0.01766432059096672
combo_5,stage2,CatBoost,0.9250212791828794,0.019852014067236363
combo_5,stage3,LASSO,,
combo_6,stage1,MLP-1,0.927179596303502,0.014471523859876451
combo_6,stage1,MLP-2,0.927179596303502,0.014471523859876451
combo_6,stage1,SGD,0.6678281553988328,0.03567938649266274
combo_6,stage2,MLP-3,0.9262045537451362,0.014071898643671222
combo_6,stage2,CatBoost,0.9240644759241246,0.0161726400176231
combo_6,stage3,LASSO,,
